,volume,underlying_price,underlying_index,quote_currency,price_change,open_interest,mid_price,mark_price,low,last,interest_rate,instrument_name,high,estimated_delivery_price,creation_timestamp,bid_price,base_currency,ask_price,instrument_id,EXP_DATE,K,cp,S,TTM
0,61.3,9349.894391055994,SYN.BTC-28AUG20,USD,-1.2739,243.9,0.07825,0.07824969,0.0775,0.0775,0,BTC-28AUG20-9500-C,0.0785,9291.44,1594208349783,0.077,BTC,0.0795,BTCUSD-20200828-9500-C,20200828,9500.0,C,9349.894391055994,50.181099537037035
1,35.0,9317.7387918408,SYN.BTC-31JUL20,USD,-6.1856,537.9,0.0445,0.04587939,0.0455,0.0455,0,BTC-31JUL20-9250-P,0.0505,9291.44,1594208349783,0.043,BTC,0.046,BTCUSD-20200731-9250-P,20200731,9250.0,P,9317.7387918408,22.18109953703704
2,1.5,9518.63,BTC-26MAR21,USD,-1.2698,78.7,0.15775,0.15779745,0.1555,0.1555,0,BTC-26MAR21-8000-P,0.1575,9291.44,1594208349783,0.1555,BTC,0.16,BTCUSD-20210326-8000-P,20210326,8000.0,P,9518.63,260.181099537037
3,124.0,9293.622076095158,SYN.BTC-10JUL20,USD,-19.3548,813.8,0.0135,0.01245249,0.011,0.0125,0,BTC-10JUL20-9250-C,0.0165,9291.44,1594208349783,0.0125,BTC,0.0145,BTCUSD-20200710-9250-C,20200710,9250.0,C,9293.622076095158,1.181099537037037
4,108.4,9317.7387918408,SYN.BTC-31JUL20,USD,-6.9444,1359.2,0.03375,0.03407076,0.0335,0.0335,0,BTC-31JUL20-9000-P,0.039,9291.44,1594208349783,0.033,BTC,0.0345,BTCUSD-20200731-9000-P,20200731,9000.0,P,9317.7387918408,22.18109953703704
7,56.8,9292.413648379223,SYN.BTC-9JUL20,USD,-67.3913,53.1,0.00175,0.00173845,0.0015,0.0015,0,BTC-9JUL20-9125-P,0.005,9291.44,1594208349783,0.0015,BTC,0.002,BTCUSD-20200709-9125-P,20200709,9125.0,P,9292.413648379223,0.18109953703703704
8,0.4,9381.99,BTC-25SEP20,USD,-1.5464,639.7,0.09525,0.09525565,0.0955,0.0955,0,BTC-25SEP20-9000-P,0.097,9291.44,1594208349783,0.0935,BTC,0.097,BTCUSD-20200925-9000-P,20200925,9000.0,P,9381.99,78.18109953703704
9,123.0,9292.413648379223,SYN.BTC-9JUL20,USD,-41.6667,140.0,0.0035,0.00347597,0.003,0.0035,0,BTC-9JUL20-9375-C,0.006,9291.44,1594208349783,0.0025,BTC,0.0045,BTCUSD-20200709-9375-C,20200709,9375.0,C,9292.413648379223,0.18109953703703704
14,0.8,9293.622076095158,SYN.BTC-10JUL20,USD,0.0,2.4,0.053,0.05108088,0.0515,0.0515,0,BTC-10JUL20-9750-P,0.0515,9291.44,1594208349784,0.0485,BTC,0.0575,BTCUSD-20200710-9750-P,20200710,9750.0,P,9293.622076095158,1.181099537037037
17,0.1,9518.63,BTC-26MAR21,USD,0.0,3.2,0.6055,0.60549332,0.59,0.59,0,BTC-26MAR21-4000-C,0.59,9291.44,1594208349784,0.591,BTC,0.62,BTCUSD-20210326-4000-C,20210326,4000.0,C,9518.63,260.181099537037
18,0.3,9301.660989930595,SYN.BTC-17JUL20,USD,0.0,81.5,0.002,0.0019626,0.0015,0.0015,0,BTC-17JUL20-12000-C,0.0015,9291.44,1594208349784,0.0015,BTC,0.0025,BTCUSD-20200717-12000-C,20200717,12000.0,C,9301.660989930595,8.181099537037037
19,20.5,9292.413648379223,SYN.BTC-9JUL20,USD,0.0,21.0,0.00125,0.00124001,0.001,0.0015,0,BTC-9JUL20-9625-C,0.0015,9291.44,1594208349784,0.001,BTC,0.0015,BTCUSD-20200709-9625-C,20200709,9625.0,C,9292.413648379223,0.18109953703703704
20,21.0,9451.99,BTC-25DEC20,USD,-10.0,926.6,0.0095,0.00949033,0.009,0.009,0,BTC-25DEC20-36000-C,0.01,9291.44,1594208349784,0.009,BTC,0.01,BTCUSD-20201225-36000-C,20201225,36000.0,C,9451.99,169.18109953703703
22,65.2,9381.99,BTC-25SEP20,USD,-3.3898,1111.6,0.02825,0.02824881,0.0285,0.0285,0,BTC-25SEP20-7000-P,0.0305,9291.44,1594208349784,0.0275,BTC,0.029,BTCUSD-20200925-7000-P,20200925,7000.0,P,9381.99,78.18109953703704
27,0.2,9317.7387918408,SYN.BTC-31JUL20,USD,6.25,21.8,0.14125,0.14338319,0.144,0.153,0,BTC-31JUL20-10500-P,0.153,9291.44,1594208349784,0.1365,BTC,0.146,BTCUSD-20200731-10500-P,20200731,10500.0,P,9317.7387918408,22.18109953703704
28,6.0,9301.660989930595,SYN.BTC-17JUL20,USD,14.2857,370.1,0.00325,0.00324621,0.0035,0.004,0,BTC-17JUL20-11000-C,0.004,9291.44,1594208349784,0.003,BTC,0.0035,BTCUSD-20200717-11000-C,20200717,11000.0,C,9301.660989930595,8.181099537037037
30,0.2,9451.99,BTC-25DEC20,USD,0.0,335.9,0.11275,0.11276217,0.1145,0.1145,0,BTC-25DEC20-8000-P,0.1145,9291.44,1594208349784,0.1115,BTC,0.114,BTCUSD-20201225-8000-P,20201225,8000.0,P,9451.99,169.18109953703703
35,28.2,9349.894391055994,SYN.BTC-28AUG20,USD,-4.918,424.9,0.03,0.02998519,0.029,0.029,0,BTC-28AUG20-8000-P,0.033,9291.44,1594208349784,0.029,BTC,0.031,BTCUSD-20200828-8000-P,20200828,8000.0,P,9349.894391055994,50.181099537037035
36,69.4,9301.660989930595,SYN.BTC-17JUL20,USD,-7.6923,172.3,0.00575,0.00572805,0.006,0.006,0,BTC-17JUL20-8500-P,0.0075,9291.44,1594208349784,0.005,BTC,0.0065,BTCUSD-20200717-8500-P,20200717,8500.0,P,9301.660989930595,8.181099537037037
38,11.0,9451.99,BTC-25DEC20,USD,14.2857,1494.7,0.00675,0.0067485,0.007,0.008,0,BTC-25DEC20-3000-P,0.008,9291.44,1594208349784,0.0065,BTC,0.007,BTCUSD-20201225-3000-P,20201225,3000.0,P,9451.99,169.18109953703703
42,152.3,9317.7387918408,SYN.BTC-31JUL20,USD,10.3448,1856.6,0.0165,0.01650105,0.0145,0.016,0,BTC-31JUL20-10500-C,0.0165,9291.44,1594208349784,0.016,BTC,0.017,BTCUSD-20200731-10500-C,20200731,10500.0,C,9317.7387918408,22.18109953703704
